Name;Position;Team;Salary;Number;Age;Weight;Height;College
Avery Bradley;PG;Boston Celtics;7730337.0;0.0;25.0;180.0;6-2;Texas
Jae Crowder;SF;Boston Celtics;6796117.0;99.0;25.0;235.0;6-6;Marquette
John Holland;SG;Boston Celtics;;30.0;27.0;205.0;6-5;Boston University
R.J. Hunter;SG;Boston Celtics;1148640.0;28.0;22.0;185.0;6-5;Georgia State
Jonas Jerebko;PF;Boston Celtics;5000000.0;8.0;29.0;231.0;6-10;
Amir Johnson;PF;Boston Celtics;12000000.0;90.0;29.0;240.0;6-9;
Jordan Mickey;PF;Boston Celtics;1170960.0;55.0;21.0;235.0;6-8;LSU
Kelly Olynyk;C;Boston Celtics;2165160.0;41.0;25.0;238.0;7-0;Gonzaga
Terry Rozier;PG;Boston Celtics;1824360.0;12.0;22.0;190.0;6-2;Louisville
Marcus Smart;PG;Boston Celtics;3431040.0;36.0;22.0;220.0;6-4;Oklahoma State
Jared Sullinger;C;Boston Celtics;2569260.0;7.0;24.0;260.0;6-9;Ohio State
Isaiah Thomas;PG;Boston Celtics;6912869.0;4.0;27.0;185.0;5-9;Washington
Evan Turner;SG;Boston Celtics;3425510.0;11.0;27.0;220.0;6-7;Ohio State
James Young;SG;Boston Celtics;1749840.0;13.0;20.0;215.0;6-6;Kentucky
Tyler Zeller;C;Boston Celtics;2616975.0;44.0;26.0;253.0;7-0;North Carolina
Bojan Bogdanovic;SG;Brooklyn Nets;3425510.0;44.0;27.0;216.0;6-8;
Markel Brown;SG;Brooklyn Nets;845059.0;22.0;24.0;190.0;6-3;Oklahoma State
Wayne Ellington;SG;Brooklyn Nets;1500000.0;21.0;28.0;200.0;6-4;North Carolina
Rondae Hollis-Jefferson;SG;Brooklyn Nets;1335480.0;24.0;21.0;220.0;6-7;Arizona
Jarrett Jack;PG;Brooklyn Nets;6300000.0;2.0;32.0;200.0;6-3;Georgia Tech
Sergey Karasev;SG;Brooklyn Nets;1599840.0;10.0;22.0;208.0;6-7;
Sean Kilpatrick;SG;Brooklyn Nets;134215.0;6.0;26.0;219.0;6-4;Cincinnati
Shane Larkin;PG;Brooklyn Nets;1500000.0;0.0;23.0;175.0;5-11;Miami (FL)
Brook Lopez;C;Brooklyn Nets;19689000.0;11.0;28.0;275.0;7-0;Stanford
Chris McCullough;PF;Brooklyn Nets;1140240.0;1.0;21.0;200.0;6-11;Syracuse
Willie Reed;PF;Brooklyn Nets;947276.0;33.0;26.0;220.0;6-10;Saint Louis
Thomas Robinson;PF;Brooklyn Nets;981348.0;41.0;25.0;237.0;6-10;Kansas
Henry Sims;C;Brooklyn Nets;947276.0;14.0;26.0;248.0;6-10;Georgetown
Donald Sloan;PG;Brooklyn Nets;947276.0;15.0;28.0;205.0;6-3;Texas A&M
Thaddeus Young;PF;Brooklyn Nets;11235955.0;30.0;27.0;221.0;6-8;Georgia Tech
Arron Afflalo;SG;New York Knicks;8000000.0;4.0;30.0;210.0;6-5;UCLA
Lou Amundson;PF;New York Knicks;1635476.0;17.0;33.0;220.0;6-9;UNLV
Thanasis Antetokounmpo;SF;New York Knicks;30888.0;43.0;23.0;205.0;6-7;
Carmelo Anthony;SF;New York Knicks;22875000.0;7.0;32.0;240.0;6-8;Syracuse
Jose Calderon;PG;New York Knicks;7402812.0;3.0;34.0;200.0;6-3;
Cleanthony Early;SF;New York Knicks;845059.0;11.0;25.0;210.0;6-8;Wichita State
Langston Galloway;SG;New York Knicks;845059.0;2.0;24.0;200.0;6-2;Saint Joseph's
Jerian Grant;PG;New York Knicks;1572360.0;13.0;23.0;195.0;6-4;Notre Dame
Robin Lopez;C;New York Knicks;12650000.0;8.0;28.0;255.0;7-0;Stanford
Kyle O'Quinn;PF;New York Knicks;3750000.0;9.0;26.0;250.0;6-10;Norfolk State
Kristaps Porzingis;PF;New York Knicks;4131720.0;6.0;20.0;240.0;7-3;
Kevin Seraphin;C;New York Knicks;2814000.0;1.0;26.0;278.0;6-10;
Lance Thomas;SF;New York Knicks;1636842.0;42.0;28.0;235.0;6-8;Duke
